中轴承温度,A相线温度,电机前轴承温度,垂直振动,水平振动,出口烟气温度,timestamp
59.793556,55.341824,61.383026,0.2991454,0.26251513,137.19853,2023-05-26 18:18:00
59.793556,55.341824,61.383026,0.2869353,0.26251513,137.19853,2023-05-26 18:18:00
59.793556,55.341824,61.383026,0.2869353,0.26251513,137.17291,2023-05-26 18:18:00
59.793556,55.341824,61.383026,0.2869353,0.26251513,137.17291,2023-05-26 18:18:00
59.793556,55.341824,61.383026,0.27472523,0.26251512999999993,137.17291,2023-05-26 18:18:00
59.793556,55.341824,61.383026,0.2991454,0.26251513,137.24812,2023-05-26 18:19:00
59.793556,55.341824,61.383026,0.2869353,0.25030506,137.1473,2023-05-26 18:19:00
59.793556,55.341824,61.383026,0.2991454,0.25030506,137.2225,2023-05-26 18:19:00
59.793556,55.341824,61.383026,0.2991454,0.27472523,137.2225,2023-05-26 18:19:00
59.793556,55.341824,61.383026,0.27472523,0.25030506,137.2225,2023-05-26 18:19:00
59.793556,55.341824,61.383026,0.2869353,0.26251513,137.1713,2023-05-26 18:19:00
59.767498,55.341824,61.383026,0.27472523,0.25030506,137.14569,2023-05-26 18:20:00
59.767498,55.341824,61.383026,0.27472523,0.26251512999999993,137.12007,2023-05-26 18:20:00
59.767498,55.341824,61.383026,0.27472523,0.26251513,137.09448,2023-05-26 18:20:00
59.767498,55.315823,61.383026,0.27472523,0.26251513,137.11847,2023-05-26 18:20:00
59.767498,55.341824,61.383026,0.2869353,0.25030506,137.09288,2023-05-26 18:20:00
59.767498,55.341824,61.383026,0.2869353,0.26251513,137.06728,2023-05-26 18:20:00
59.767498,55.341824,61.383026,0.31135547,0.27472523,137.04167,2023-05-26 18:21:00
59.767498,55.341824,61.383026,0.2991454,0.26251513,137.01607,2023-05-26 18:21:00
59.767498,55.341824,61.383026,0.2991454,0.26251513,136.8897,2023-05-26 18:21:00
59.767498,55.341824,61.383026,0.2869353,0.27472523,136.93929,2023-05-26 18:21:00
59.767498,55.315823,61.383026,0.2869353,0.25030506,136.93929,2023-05-26 18:21:00
59.767498,55.289803,61.383026,0.2869353,0.27472523,136.9137,2023-05-26 18:21:00
59.767498,55.289803,61.383026,0.31135547,0.26251513,136.81291,2023-05-26 18:22:00
59.767498,55.289803,61.383026,0.2991454,0.27472523,136.86252,2023-05-26 18:22:00
59.767498,55.289803,61.383026,0.2869353,0.25030506,136.83693,2023-05-26 18:22:00
